Year,Cumulative Terrestrial Area
1960,1317813.23
1961,1524212.94
1962,1588453.71
1963,1645822.04
1964,1749563.02
1965,1832014.41
1966,1909078.01
1967,2013597.26
1968,2136862.15
1969,2348288.74
1970,2476025.05
1971,2813594.94
1972,2998297.65
1973,3332868.72
1974,4447668.84
1975,4682889.63
1976,4824639.19
1977,4921843.01
1978,5058301.05
1979,5338639.88
1980,5573477.1
1981,5714018.86
1982,5968291.44
1983,6168276.5
1984,6308633.91
1985,6592980.46
1986,7046560.7
1987,7335121.94
1988,7757669.82
1989,8128404.7
1990,8738684.77
1991,9161191.81
1992,9468356.43
1993,9878915.94
1994,10882922.87
1995,11461990.23
1996,12018688.31
1997,12431295.76
1998,12749443.2
1999,13035892.05
2000,13553432.9
2001,14004738.18
2002,14550392.03
2003,14761440.46
2004,14966030.87
2005,15159061.8
2006,15492068.64
2007,15836444.85
2008,15953332.28
2009,16180698
2010,16225789.61
2011,16263609.39
