Goal,Target,Target_label,N.elements,Indicator_name,Filename,Alignment,Category,Filename.ss,Alignment_old,Col_for_response,Family,Coverage,Family2,Link2
Address the underlying causes of biodiversity loss by mainstreaming biodiversity across government and society,1,Biodiversity awareness increased,2,Biodiversity barometer: percentage correctly defining biodiversity,Biodiversity_barometer_%knewcorrectdefinitionbiodiversity,3,response,untransformed_T1_cor_def_biodiv,2,2,quasibinomial,moderate,quasibinomial,logit
Address the underlying causes of biodiversity loss by mainstreaming biodiversity across government and society,1,Biodiversity awareness increased,2,Biodiversity barometer: percentage heard of biodiversity,Biodiversity_barometer_%heardofbiodiversity,3,response,untransformed_T1_heard_of_biodiv,2,2,quasibinomial,moderate,quasibinomial,logit
Address the underlying causes of biodiversity loss by mainstreaming biodiversity across government and society,1,Biodiversity awareness increased,2,Funds for environmental education and training,Environmental_education_global_aid_funds,1,response,untransformed_T1_Funds_environmental_education,3,2,gaussian,moderate,gaussian,log
Address the underlying causes of biodiversity loss by mainstreaming biodiversity across government and society,1,Biodiversity awareness increased,2,Google trends in biodiversity searches,Googletrends_final,2,response,untransformed_T1_google_trends,2,2,gaussian,moderate,gaussian,identity
Address the underlying causes of biodiversity loss by mainstreaming biodiversity across government and society,2,Biodiversity values integrated into development strategies,1,Funds for environmental impact assessments,Global_funds_EIA,1,response,untransformed_T2_Global_funds_EIA,2,2,gamma_inverse,low,gaussian,log
Address the underlying causes of biodiversity loss by mainstreaming biodiversity across government and society,2,Biodiversity values integrated into development strategies,1,Research studies involving economic valuation,Number_of_research_studies_involving_economic_valuation,1,response,untransformed_T2_Research_studies_involving_economic_valuation,2,2,gaussian,low,gaussian,identity
Address the underlying causes of biodiversity loss by mainstreaming biodiversity across government and society,3,Reform incentives,2,Funds toward institutional capacity building in fishing,Funds_development_sustainable_fisheries_fishing_practices,1,response,untransformed_T3_Funds_institution_capacity_building_fishing,3,2,gaussian,moderate,gaussian,log
Address the underlying causes of biodiversity loss by mainstreaming biodiversity across government and society,3,Reform incentives,2,WTO green box spending,WTO_GreenBoxSpending_limited_countries,2,response,untransformed_T3_WTO_GreenBox,3,2,gamma_inverse,moderate,gaussian,log
Address the underlying causes of biodiversity loss by mainstreaming biodiversity across government and society,4,"Sustainable production, consumption, and resource use",2,Ecological footprint,Ecological.footprint.number.earths.demanded_incl.carbon.built,3,pressure,untransformed_T4_ecofoot,3,2,gaussian,high,gaussian,identity
Address the underlying causes of biodiversity loss by mainstreaming biodiversity across government and society,4,"Sustainable production, consumption, and resource use",2,Human appropriation of NPP,HANPP,1,pressure,untransformed_T4_HANPP,1,2,gaussian,high,gaussian,identity
Address the underlying causes of biodiversity loss by mainstreaming biodiversity across government and society,4,"Sustainable production, consumption, and resource use",2,Water_footprint,Water_footprint,3,pressure,untransformed_T4_water_footprint,3,2,gaussian,high,gaussian,identity
Address the underlying causes of biodiversity loss by mainstreaming biodiversity across government and society,4,"Sustainable production, consumption, and resource use",2,Percentage of category 1 parties to CITES,Percent_cat1_nations_CITES,3,response,untransformed_T4_cat_1_cites_countries,3,2,quasibinomial_transform,high,quasibinomial_transform,logit
Address the underlying causes of biodiversity loss by mainstreaming biodiversity across government and society,4,"Sustainable production, consumption, and resource use",2,Red list index  trends driven by utilisation,Trends_driven_by_use_limited,3,state,untransformed_T4_Trends_driven_by_use,1,2,gaussian,high,gaussian,identity
Reduce the direct pressures on biodiversity and promote sustainable use,5,"Natural habitats loss halved, degradation reduced",2,Natural habitat extent,Percent_land_area_natural_habitat,3,state,untransformed_T5_Pct_natural_habitat,3,2,quasibinomial_transform,low,quasibinomial_transform,logit
Reduce the direct pressures on biodiversity and promote sustainable use,5,"Natural habitats loss halved, degradation reduced",2,Wetland area extent ,Wetland_LPI_limited,2,state,untransformed_T5_wetland_LPI,2,2,gaussian,low,gaussian,identity
Reduce the direct pressures on biodiversity and promote sustainable use,5,"Natural habitats loss halved, degradation reduced",2,Wild bird index for habitat specialists,WBI_habitat_dep_birds,1,state,untransformed_T5_WBI_habitat_specialists,1,2,gaussian,low,gaussian,identity
