FILE,TYPE,TARGET,UNIT
untransformed_T10_coral_reef_cover.csv,STATE,Coral reef cover,(%)
untransformed_T10_glacier_mass_balance.csv,STATE,Glacial mass balance,(mm Water Equivalent)
untransformed_T10_sea_ice_extent.csv,STATE,Mean polar ice extent,(Million km2)
untransformed_T12_bird_mammal_extinctions.csv,STATE,Mammal and bird extinctions ,(#/25 Years)
untransformed_T12_LPI.csv,STATE,Living Planet Index,(Unitless)
untransformed_T12_RLI.csv,STATE,"Red List Index (birds, mammals, and amphibians)",(Unitless)
untransformed_T13_domesticated_genetic_diversity.csv,STATE,Genetic diversity of terrestrial domesticated animals,(% of Breeds at Risk)
untransformed_T14_RLI_pollinators.csv,STATE,Red List Index (pollinators),(Unitless)
untransformed_T4_Trends_driven_by_use.csv,STATE,Red List Index showing trends driven by utilisation,(Unitless)
untransformed_T5_Pct_natural_habitat.csv,STATE,Natural habitat extent,(% Global Area)
untransformed_T5_WBI_habitat_specialists.csv,STATE,Wild Bird Index for habitat specialists,(Unitless)
untransformed_T5_wetland_LPI.csv,STATE,Living Planet Index for wetlands,(Unitless)
untransformed_T6_prop_fish_stocks_safe_bl_statespace.csv,STATE,Fish stocks within safe biological limits,(%)
untransformed_T6_RLI_Seabirds.csv,STATE,Red List Index for seabirds,(Unitless)
untransformed_T7_Farmland_WBI.csv,STATE,Wild Bird Index for farmland specialists,(Unitless)
untransformed_T8_RLI_pollution_birds.csv,STATE,Red List Index for birds with trends driven by pollution,(Unitless)
untransformed_T9_RLI_invasive_birds.csv,STATE,Red List Index for birds with trends driven by invasive species,(Unitless)
untransformed_T4_ecofoot.csv,PRESSURE,Ecological footprint,(# of Earths)
untransformed_T4_HANPP.csv,PRESSURE,Human appropriation of net primary productivity,(Pg C / Year)
untransformed_T4_water_footprint.csv,PRESSURE,Water footprint,(1000 km3)
untransformed_T6_Trawl_Effort.csv,PRESSURE,Global effort in bottom-trawl fishing,(kW sea days)
untransformed_T8_insecticide_use.csv,PRESSURE,Insecticide use,(Tons)
untransformed_T8_nitrogen_surplus.csv,PRESSURE,Nitrogen surplus,(T g N / Year)
untransformed_T9_Introduction_Events.csv,PRESSURE,Invasive alien species introduction events,(Unitless)
untransformed_T1_cor_def_biodiv.csv,RESPONSE,Respondent giving the correct definition of biodiversity,(%)
untransformed_T1_Funds_environmental_education.csv,RESPONSE,Funding for environmental education,($ Million USD)
untransformed_T1_google_trends.csv,RESPONSE,Online interest in biodiversity,(Google Hits)
untransformed_T1_heard_of_biodiv.csv,RESPONSE,Respondent has heard of biodiversity,(%)
untransformed_T11_freshwater_ecoregion_coverage.csv,RESPONSE,Protected area coverage of freshwater ecoregions,(%)
untransformed_T11_funds_towards_nature_reserves.csv,RESPONSE,Funding toward nature reserves,($ Million USD)
untransformed_T11_marine_ecoregion_coverage.csv,RESPONSE,Protected area coverage of marine ecoregions,(%)
untransformed_T11_Marine_PA_coverage.csv,RESPONSE,Global coverage of marine protected areas,(%)
untransformed_T11_PA_coverage_AZEs.csv,RESPONSE,Protected area coverage of Alliance for Zero Extinction sites,(%)
untransformed_T11_PA_coverage_birds_mammals_amphibians.csv,RESPONSE,"Protected area coverage of bird, mammal, and amphibian species ranges",(%)
untransformed_T11_PA_coverage_IBAs.csv,RESPONSE,Protected area coverage of Important Bird and Biodiversity Areas,(%)
untransformed_T11_PAME_assessments_per_year.csv,RESPONSE,Protected area management assessments,(#)
untransformed_T11_terrestrial_ecoregion_coverage.csv,RESPONSE,Protected area coverage of terrestrial ecoregions,(%)
untransformed_T11_Terrestrial_PA_coverage.csv,RESPONSE,Global coverage of terrestrial protected areas,(%)
untransformed_T12_funds_towards_species_protection.csv,RESPONSE,Funding for species protection,($ Million USD)
untransformed_T14_popnpct_improved_water_source.csv,RESPONSE,Rural population with access to improved water source,(%)
untransformed_T19_funds_for_environmental_research.csv,RESPONSE,Funding for environmental education and research,($ Million USD)
untransformed_T19_GBIF_records.csv,RESPONSE,Number of Global Biodiversity Information Facility Records,Millions
untransformed_T19_WOS_biodiv_papers.csv,RESPONSE,Biodiversity papers in Web of Science,(#)
untransformed_T2_Global_funds_EIA.csv,RESPONSE,Investment in environmental impact assessments,($ Million USD)
untransformed_T2_Research_studies_involving_economic_valuation.csv,RESPONSE,Number of studies involving economic valuation,(#)
untransformed_T20_GEF_funding.csv,RESPONSE,Funding provided by the Global Environment Facility,($ Million USD)
untransformed_T20_global_funds_environmental_policy_and_laws.csv,RESPONSE,"Funding for environmental policy, laws, regulations and economic instruments",($ Million USD)
untransformed_T20_ODA_biodiversity.csv,RESPONSE,Official Development Assistance provided in support of the Convention on Biological Diversity,($ Million USD)
untransformed_T3_Funds_institution_capacity_building_fishing.csv,RESPONSE,Funding for institutional capacity building in fisheries,($ Million USD)
untransformed_T3_WTO_GreenBox.csv,RESPONSE,World Trade Organization 'green box' agricultural subsidies,($ Million USD)
untransformed_T4_cat_1_cites_countries.csv,RESPONSE,Category 1 parties to the Convention on International Trade in Endangered Species (CITES),(%)
untransformed_T6_MSC_engaged_tonnes.csv,RESPONSE,Tonnage of Marine Stewardship Council engaged fisheries,(Tons)
untransformed_T7_Area_conservation_agriculture.csv,RESPONSE,Area under conservation agriculture,(Thousand Hectares)
untransformed_T7_Area_organic_agriculture.csv,RESPONSE,Area under organic agriculture,(Million Hectares)
untransformed_T7_FSC_PEFC_Cert_Forest.csv,RESPONSE,Area of forest under sustainable management ,(Million Hectares)
untransformed_T9_Invasives_national_legislation.csv,RESPONSE,Adoption of national legislation relevant to the prevention and control of invasive species,(# of Countries)
